   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:2585(Widget)
        1    0.000    0.000    0.000    0.000 __init__.py:2593(Toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:2623(Button)
        1    0.000    0.000    0.000    0.000 __init__.py:2670(Canvas)
        1    0.000    0.000    0.001    0.001 __init__.py:2673(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:272(LogRecord)
      109    0.001    0.000    0.020    0.000 __init__.py:2763(_create)
       48    0.000    0.000    0.005    0.000 __init__.py:2787(create_line)
       61    0.000    0.000    0.015    0.000 __init__.py:2803(create_text)
       23    0.000    0.000    0.005    0.000 __init__.py:2816(delete)
        1    0.000    0.000    0.000    0.000 __init__.py:2980(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3016(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:308(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:3102(Frame)
        1    0.000    0.000    0.000    0.000 __init__.py:3122(Label)
       72    0.008    0.000    0.021    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:3146(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:3262(Menu)
        3    0.000    0.000    0.002    0.001 __init__.py:339(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3392(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3399(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:3406(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3439(Scale)
        1    0.000    0.000    0.000    0.000 __init__.py:3478(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:3528(Text)
        3    0.000    0.000    0.000    0.000 __init__.py:367(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:383(__getattr__)
      362    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:390(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:3932(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3946(OptionMenu)
        1    0.000    0.000    0.000    0.000 __init__.py:396(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:3985(Image)
        1    0.000    0.000    0.021    0.021 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:40(__sympy_debug)
        1    0.000    0.000    0.000    0.000 __init__.py:405(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:4053(PhotoImage)
        1    0.000    0.000    0.003    0.003 __init__.py:413(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:4137(BitmapImage)
        1    0.000    0.000    0.000    0.000 __init__.py:414(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:4155(Spinbox)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:427(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:4333(LabelFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:4357(PanedWindow)
        1    0.000    0.000    0.000    0.000 __init__.py:436(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:437(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:440(__getattr__)
        1    0.000    0.000    0.005    0.005 __init__.py:441(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:471(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:491(StringVar)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:499(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:510(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:515(IntVar)
        1    0.000    0.000    0.000    0.000 __init__.py:540(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:555(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:556(DeprecatedImportModule)
        1    0.000    0.000    0.000    0.000 __init__.py:561(BooleanVar)
        1    0.000    0.000    0.000    0.000 __init__.py:611(Misc)
       80    0.000    0.000    0.005    0.000 __init__.py:666(__init__)
        1    0.000    0.000    0.006    0.006 __init__.py:679(inject_imports)
        1    0.000    0.000    0.000    0.000 __init__.py:688(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:730(Filter)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:767(Filterer)
        4    0.000    0.000    0.000    0.000 __init__.py:772(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:839(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:849(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:858(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:887(createLock)
        1    0.000    0.000    0.010    0.010 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6673(numeric_type_aliases)
       16    0.000    0.000    0.000    0.000 _add_newdocs.py:6674(type_aliases_gen)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6709(add_newdoc_for_scalar_type)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6714(<genexpr>)
       34    0.000    0.000    0.000    0.000 _add_newdocs.py:6715(<genexpr>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
      264    0.001    0.000    0.003    0.000 _asarray.py:14(asarray)
        1    0.000    0.000    0.000    0.000 _base.py:112(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:142(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:313(Future)
        1    0.000    0.000    0.016    0.016 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:44(Error)
        1    0.000    0.000    0.000    0.000 _base.py:48(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:52(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:547(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:56(InvalidStateError)
        1    0.000    0.000    0.000    0.000 _base.py:60(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:640(BrokenExecutor)
        1    0.000    0.000    0.000    0.000 _base.py:75(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:97(_FirstCompletedWaiter)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:271(__subclasshook__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
